FIPS,2010 MR,2011 MR,2012 MR,2013 MR,2014 MR,2015 MR,2016 MR,2017 MR,2018 MR,2019 MR,2020 MR,2021 MR,2022 MR
31097,0.0,0.0,0.0,4.54,1.82,0.0,0.0,0.0,0.0,2.9,0.0,4.93,0.0
31099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31105,0.0,0.0,6.75,0.0,0.0,6.92,0.0,5.08,0.0,0.0,0.0,0.0,0.0
31107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31109,7.01,6.9,9.54,9.09,7.95,7.18,6.78,6.68,9.14,9.4,15.59,14.79,11.39
31111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31127,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.06
31129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31131,0.0,0.0,2.19,3.41,0.0,1.64,0.0,0.0,2.13,2.68,3.44,4.19,1.68
31133,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0
31143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31147,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31151,1.4,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,2.36,3.74,0.0,1.9
31153,6.3,9.84,7.24,6.36,5.81,9.61,8.38,6.06,9.76,10.68,5.82,7.76,10.18
31155,4.36,0.0,0.0,0.0,4.67,6.33,4.58,6.83,6.04,0.0,7.63,8.14,0.0
31157,0.0,0.76,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0
31159,0.0,0.0,1.59,0.0,0.0,1.8,0.0,1.67,1.83,2.35,3.87,2.96,0.0
31161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0
31163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31173,0.0,0.0,3.97,0.0,3.01,0.0,0.16,0.0,0.0,0.0,0.0,0.0,2.82
31175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31177,0.0,5.35,0.0,6.36,0.0,0.0,0.0,0.0,2.65,5.8,9.04,0.0,12.48
31179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31185,0.0,0.0,0.0,0.0,0.0,0.3,0.18,0.33,0.0,0.67,1.09,0.42,0.27
32001,30.45,19.39,22.58,16.07,13.1,25.01,24.89,28.55,28.51,17.24,20.13,34.71,34.22
32003,19.99,23.15,21.19,21.75,19.47,20.76,22.22,21.05,22.0,19.63,26.12,29.23,28.76
32005,27.66,21.33,13.86,13.82,23.14,20.6,24.99,16.57,18.03,22.21,22.41,24.39,24.85
32007,12.67,11.47,9.09,13.1,13.42,15.34,16.21,10.42,15.98,8.84,19.92,24.11,46.26
32009,0.0,0.0,0.0,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32013,16.01,9.92,9.97,13.17,12.0,14.16,14.69,14.39,14.26,5.56,19.43,20.6,35.0
32015,22.4,14.15,16.7,12.25,13.1,18.11,21.55,20.62,23.85,0.0,18.43,24.49,35.65
32017,0.0,21.73,0.0,0.0,0.0,0.0,26.0,0.0,25.21,0.0,21.79,24.41,27.07
32019,26.93,17.25,21.43,17.93,10.56,31.44,20.68,33.26,28.67,34.78,20.58,22.99,32.48
32021,22.65,0.0,20.03,0.0,0.0,21.64,18.0,17.37,24.26,18.92,0.0,25.45,0.0
32023,47.79,29.99,44.22,23.64,23.65,37.67,36.85,36.2,44.11,23.64,27.05,43.03,62.11
32027,27.45,17.91,0.0,17.0,15.64,20.59,24.46,27.95,22.76,0.0,26.52,29.47,36.79
32029,23.15,23.12,23.04,25.28,0.0,35.06,0.0,0.0,27.97,28.6,0.0,28.84,33.52
32031,24.44,28.19,24.66,26.51,18.18,20.59,24.03,27.36,22.76,27.78,32.91,38.1,42.28
32033,16.24,16.49,15.65,10.65,12.52,15.38,20.62,14.86,20.41,12.07,19.67,0.0,22.45
32510,18.09,18.04,19.91,24.04,22.01,49.52,25.57,38.36,32.48,23.25,19.63,25.43,25.8
33001,11.12,18.27,8.64,16.62,18.24,34.63,31.26,42.77,49.16,34.26,29.24,41.89,23.15
33003,11.9,13.86,11.03,14.08,25.9,33.84,33.83,33.29,24.6,26.58,22.37,31.07,34.48
33005,11.67,22.1,19.52,16.97,21.02,33.11,27.71,30.28,43.14,24.97,22.3,24.57,32.32
33007,8.76,12.84,11.74,12.12,37.91,41.65,17.64,34.77,22.28,21.66,35.29,60.72,76.18
33009,11.22,15.27,12.18,11.16,15.61,17.91,15.75,23.49,14.48,21.14,16.54,21.69,23.05
33011,14.47,18.17,15.14,17.08,27.15,40.82,48.8,44.18,38.53,34.77,32.48,35.37,43.6
33013,7.51,10.92,6.81,13.62,27.86,23.65,25.58,26.14,34.41,26.42,30.14,28.99,28.84
33015,10.16,15.19,14.1,13.71,23.29,31.81,33.64,31.01,28.14,26.79,25.7,17.98,25.36
33017,14.62,13.73,10.47,18.46,35.83,33.12,40.81,40.43,37.67,42.1,38.77,46.82,41.58
33019,11.07,18.44,16.62,14.71,22.91,28.12,25.58,32.0,37.23,31.41,34.26,59.72,36.4
34001,17.48,21.51,26.14,25.38,22.53,22.97,36.53,49.64,56.51,58.41,61.61,56.37,71.11
34003,6.19,8.23,8.6,10.59,9.43,9.8,12.25,15.39,16.87,16.2,19.56,21.18,17.1
34005,11.59,13.12,17.06,19.3,16.23,20.43,24.71,37.9,41.31,38.17,32.47,35.76,29.61
34007,19.08,23.38,25.12,27.88,25.44,30.34,37.24,55.8,58.37,58.05,53.67,57.47,62.68
34009,11.92,15.53,27.0,34.41,17.83,25.34,33.89,55.58,54.02,56.5,58.99,62.72,55.42
34011,6.37,9.55,16.48,15.89,18.43,17.32,35.76,52.45,68.89,56.18,51.7,48.82,54.84
34013,9.82,8.53,12.31,14.06,11.81,14.3,26.1,34.64,34.89,40.55,37.23,39.77,49.68
34015,17.34,20.41,26.24,28.59,22.34,25.73,34.55,48.94,54.56,57.26,50.81,43.35,37.51
34017,6.31,7.8,10.88,9.84,7.62,12.6,14.45,19.66,22.63,23.2,22.78,29.18,25.73
34019,10.98,12.46,11.4,13.5,11.9,13.55,17.65,20.79,14.43,14.47,11.22,18.47,12.33
34021,10.37,10.35,9.77,12.42,11.84,16.42,15.9,26.69,35.15,27.76,31.86,37.83,36.25
34023,7.53,9.21,12.15,9.05,13.87,11.65,21.15,25.75,23.38,26.06,25.89,29.86,24.84
34025,11.58,15.21,15.09,12.39,17.32,18.61,25.09,31.13,35.73,28.44,28.46,29.13,25.46
34027,9.14,8.89,11.04,9.01,10.61,9.41,15.85,21.21,18.61,20.74,19.75,19.18,16.63
34029,11.1,14.5,20.85,25.03,22.68,25.14,40.17,36.29,40.22,34.26,37.44,35.44,32.48
34031,8.38,8.57,10.14,12.46,10.02,12.92,18.31,22.24,29.01,25.51,30.98,28.18,28.41
34033,15.28,22.76,15.2,21.67,15.45,29.6,28.38,30.26,73.47,65.72,59.25,46.12,41.46
34035,5.26,8.62,7.02,11.49,10.22,10.49,15.58,20.27,15.1,17.63,17.61,17.07,18.45
34037,15.41,12.12,13.56,10.96,9.66,20.88,28.77,25.41,30.54,35.59,39.29,24.05,26.01
34039,7.08,5.38,7.17,8.03,8.5,12.05,14.4,21.46,26.16,24.27,29.53,30.06,29.13
34041,13.8,12.92,11.15,12.11,16.84,20.59,29.08,37.45,35.92,19.0,31.24,31.61,30.65
35001,28.07,30.7,28.81,22.4,29.31,30.0,27.77,25.27,28.29,37.25,52.81,69.99,63.49
35003,0.0,19.71,11.64,0.0,21.02,24.07,0.0,0.0,13.64,0.0,38.37,68.57,57.46
35005,19.02,28.84,18.24,27.35,22.89,15.21,19.91,33.92,18.55,23.21,23.18,44.87,53.21
35006,17.05,25.33,18.66,16.91,25.68,19.42,36.38,20.29,24.22,20.88,38.96,40.46,44.53
35007,11.93,12.08,20.16,22.7,29.66,19.12,5.25,0.0,16.26,8.17,24.54,41.59,21.21
35009,3.9,0.0,2.15,4.87,0.0,0.0,21.88,4.65,0.0,3.55,49.19,22.92,39.97
35011,0.0,0.0,0.0,0.0,16.27,0.0,0.0,18.21,0.0,0.0,0.0,0.0,0.0
35013,19.12,16.85,17.72,13.59,17.32,18.67,12.6,16.7,15.17,17.87,16.72,27.09,28.66
35015,37.15,12.18,18.38,12.63,28.37,31.26,11.67,24.56,36.27,30.79,20.54,32.83,38.08
35017,3.01,14.71,6.26,34.1,18.01,34.95,8.73,43.34,10.04,12.98,28.42,64.31,43.34
35019,13.07,0.0,20.77,0.0,28.77,7.36,40.31,23.81,0.0,13.18,0.0,55.4,51.78
35021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35023,0.0,9.75,0.0,14.71,16.48,0.0,10.34,29.47,9.46,21.44,27.5,49.44,40.89
35025,18.54,22.93,6.65,20.57,15.71,15.45,20.07,17.45,20.11,26.73,27.84,27.4,34.51
35027,14.7,17.5,15.43,12.49,24.01,15.62,66.91,23.68,12.72,19.3,25.1,68.51,48.93
35028,28.18,40.47,41.01,41.68,52.35,40.14,41.28,39.94,42.95,37.92,54.34,65.73,64.66
35029,8.19,13.3,8.86,20.8,16.9,17.87,11.47,30.02,12.32,17.43,16.72,57.02,42.72
35031,13.99,18.62,19.74,15.01,21.6,15.41,22.56,20.02,19.37,19.62,19.77,30.65,41.53
35033,23.37,36.23,37.92,35.58,43.53,0.0,0.0,0.0,34.57,0.0,42.95,61.3,0.0
35035,20.38,21.31,22.71,15.24,24.58,21.75,18.35,18.23,17.97,23.71,16.18,35.02,29.06
35037,5.22,4.7,7.3,0.0,11.16,0.0,14.53,7.86,4.03,1.52,16.14,21.85,27.5
35039,47.21,71.7,79.37,74.87,100.56,70.95,77.42,76.61,79.47,64.23,98.65,112.0,122.35
35041,9.39,0.0,4.56,9.58,9.65,5.11,12.73,12.84,0.0,9.17,16.7,19.04,25.54
35043,14.44,20.86,17.7,18.3,25.43,16.5,14.79,20.35,22.73,13.63,26.86,32.37,22.8
35045,14.61,16.38,21.78,15.02,17.77,14.32,16.51,19.7,16.79,24.2,29.19,33.06,40.69
35047,15.42,44.37,41.54,13.49,42.49,8.24,54.03,39.64,36.24,13.75,47.89,81.03,89.04
35049,22.89,28.84,25.96,31.88,31.05,32.96,31.62,22.86,26.66,35.91,37.51,52.83,48.82
35051,10.63,19.36,16.18,16.75,20.7,23.46,21.87,21.66,14.78,15.65,29.03,86.94,49.05
35053,16.04,27.83,16.19,15.62,25.82,20.37,30.06,20.39,20.74,18.26,66.5,104.22,93.08
35055,28.77,40.0,42.71,55.23,72.04,36.47,25.81,22.03,30.46,32.12,30.68,60.65,63.62
35057,23.78,27.01,23.67,17.82,32.31,21.22,39.4,29.53,25.04,31.33,40.78,72.05,66.31
35059,0.0,0.0,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,5.81,18.22,4.24
35061,28.73,31.14,16.96,28.84,26.38,14.52,25.12,39.5,34.01,33.9,39.96,55.71,37.14
36001,8.55,9.88,8.84,11.73,12.33,11.64,10.36,15.83,16.93,18.66,27.0,31.55,31.66
36003,9.36,13.03,13.57,13.4,5.86,23.78,22.35,18.1,20.85,18.13,24.07,30.35,34.27
36005,8.01,9.63,11.71,10.93,9.8,15.46,22.67,24.47,27.72,28.77,39.82,57.27,63.26
36007,8.97,12.06,10.6,16.71,19.26,19.84,38.4,34.6,21.91,24.15,40.12,46.14,51.24
36009,9.02,12.86,12.59,14.23,10.68,21.82,25.75,18.1,14.32,22.33,19.77,31.4,41.86
36011,8.95,15.05,13.22,18.87,14.76,21.71,21.83,29.64,19.44,23.63,42.09,28.99,28.0
36013,8.9,10.42,8.99,10.52,13.63,19.88,27.03,31.0,21.1,24.43,38.09,47.32,49.99
36015,8.61,15.76,21.37,15.82,11.39,16.08,25.49,31.56,23.74,40.74,32.68,39.74,46.67
36017,9.53,11.36,10.74,9.2,17.23,20.03,26.92,26.63,22.69,26.34,32.1,53.72,40.9
36019,8.94,15.86,15.65,5.64,13.48,12.31,13.57,20.99,5.16,7.02,22.56,18.85,30.48
36021,10.1,12.72,15.09,16.07,15.27,19.3,22.95,31.35,16.69,18.5,37.29,27.52,31.0
36023,8.91,11.89,12.58,0.0,18.98,20.62,26.62,29.3,20.08,27.32,25.44,36.71,26.02
36025,11.08,17.12,14.85,16.03,18.21,21.47,26.36,30.17,29.2,29.8,38.21,36.05,33.53
36027,18.49,12.75,19.51,23.58,16.18,21.98,22.07,30.11,31.66,25.83,42.28,32.31,45.04
36029,8.6,12.2,10.01,14.89,16.04,30.24,32.57,30.25,22.51,20.03,31.4,33.34,37.67
36031,4.59,8.06,9.88,5.29,12.2,8.18,15.27,13.61,10.42,7.52,25.97,40.25,27.09
36033,5.07,7.93,19.31,5.41,12.12,8.01,14.51,11.86,2.58,3.51,19.67,23.18,25.88
36035,0.0,3.17,1.65,4.24,11.12,5.08,13.01,4.14,12.43,3.7,30.3,22.59,37.97
36037,10.52,10.74,13.01,15.0,12.33,18.66,27.36,24.16,36.51,24.44,35.09,33.66,29.55
